key,jp,en,ru
phrase116,……。,,
phrase117,きっとそうです。,,
phrase118,それから、改めて……,,
phrase119,アラン様の演奏、私は好きですよ！,,
phrase120,とっても素敵でした。,,
phrase121,また聴かせてほしいです！,,
phrase122,おう。,,
phrase123,…………。,,
phrase124,視線を惑わせ,,
phrase125,アランはもごもごと呟く。,,
phrase126,……俺、酷いこと言ったろ、お前に。,,
phrase127,八つ当たりしてた。……悪かった。,,
phrase128,じゃあ……仲直りしませんか？,,
phrase129,仲直りって……どうやって？,,
phrase130,うーん。,,
phrase131,握手、とかですかね？,,
phrase132,握手……。,,
phrase133,アランは自分の掌を見る。,,
phrase134,それから「ん」とちょっと照れ臭そうに,,
phrase135,片手を差し出した。,,
phrase136,マリアはその手を取る。,,
phrase137,（大きな手……,,
phrase138,だけど、子どもみたいな人……）,,
phrase139,くすっと笑うマリアに、アランは,,
phrase140,「笑うんじゃない」と恥ずかしそうに,,
phrase141,そっぽを向くのであった。,,
phrase142,季節は巡り,,
phrase143,また試験の日がやってきて,,
phrase144,そして、今日やっと終わった。,,
phrase145,疲れた～……。,,
phrase146,ここ最近は、ずっと勉強漬けだったもの……。,,
phrase147,あとは試験結果を待つのみだ。,,
phrase148,解放感はあるが、疲労感も大きい。,,
phrase149,マリアは気分転換のため,,
phrase150,中庭へ足をのばしていた。,,
phrase151,……のだが。,,
phrase152,お気に入りの木陰には先客がいた。,,
phrase153,アランが寝転がっていたのだ。,,
phrase154,……。,,
phrase155,寝てる、のかな……？,,
phrase156,（アラン様の寝顔なんて,,
phrase157,なかなか貴重かも……？）,,
phrase158,ちょっとした好奇心から,,
phrase159,マリアは静かにアランへと近づいて,,
phrase160,その顔をゆっくりと覗き込んだ。,,
phrase161,木漏れ日の中、目を閉じた彼の顔は,,
phrase162,まるで彫刻と見紛うほどに,,
phrase163,凛と整っていた。,,
phrase164,それでいてどこかあどけなくて,,
phrase165,愛おしさが込み上げてくる。,,
phrase166,（……綺麗……）,,
phrase167,マリアはそんな感想を抱くと同時に,,
phrase168,今、彼のこの顔を見ているのは自分だけなのだ、,,
phrase169,という幸福感で少しだけ頬が緩んだ。,,
phrase170,ふふ。,,
phrase171,と、その時だ。,,
phrase172,アランの目がパチリと開く。,,
phrase173,……おい。,,
phrase174,あ……ごめんなさい。,,
phrase175,起こしちゃいました……？,,
phrase176,……足音で気づいていた。,,
phrase177,起きてらっしゃったのですね……。,,
phrase178,彼の顔を覗き込んで、,,
phrase179,自分はだらしない顔をして,,
phrase180,しまっていたのではないだろうか……。,,
phrase181,そんな恥ずかしい気持ちに,,
phrase182,マリアは頬が熱くなった。,,
phrase183,アランはそんなマリアに対し、,,
phrase184,（寝てるのかな……。,,
phrase185,起こしちゃうのは悪いかな……）,,
phrase186,（でも、せっかくだし、アラン様と,,
phrase187,少しだけ、お話ししたいな……）,,
phrase188,アラン様ー……？,,
phrase189,少しためらいながら、マリアは,,
phrase190,控えめな声量で呼びかけてみた。,,
phrase191,……。,,
phrase192,アランからの返事はない。,,
phrase193,（やっぱり寝てる……。,,
phrase194,アラン様も、試験で忙しかったのかな）,,
phrase195,と、その時だ。,,
phrase196,アランの目がパチリと開く。,,
phrase197,……おい。,,
phrase198,あ……ごめんなさい。,,
phrase199,起こしちゃいました……？,,
phrase200,呼ぶのは一回だけか？　俺の名前。,,
phrase201,えっ――,,
phrase202,（あ、最初から起きて……）,,
phrase203,からかうように細められた,,
phrase204,アランの眼差しに捉えられ、,,
phrase205,マリアは頬が熱くなった。,,
phrase206,ア……アラン様。,,
phrase207,おはよう、ござい、ます……。,,
phrase208,おう。,,
phrase209,しどろもどろにうつむいたマリアに,,
phrase210,アランは小さく含み笑った。,,
phrase211,……こっちに来い。,,
phrase212,アランが手招きをする。,,
phrase213,マリアが傍に寄れば,,
phrase214,「座れ」と彼は自分の傍を示した。,,
phrase215,もっと近くに寄れ。,,
phrase216,（もしかして、アラン様……,,
phrase217,膝枕、してほしい……のかな？）,,
phrase218,そう考えながら言われたとおりにすると,,
phrase219,予想どおり、アランはマリアの足の上に,,
phrase220,のしり、と頭を乗せてきた。,,
phrase221,横を向いてマリアの方を見ないのは,,
phrase222,甘えたい気持ちと恥ずかしい気持ちが,,
phrase223,せめぎあっているからだろうか。,,
phrase224,かわいらしい様子に,,
phrase225,マリアは口元がちょっと緩んでしまう。,,
phrase226,試験、どうだった？,,
phrase227,あ、ええと……,,
phrase228,悪くない手応えかな、って感じです。,,
phrase229,アラン様は？,,
phrase230,まあ、それなりに。,,
phrase231,そうですか。,,
phrase232,お疲れ様でした。,,
phrase233,他愛もない会話だ。,,
phrase234,話題が途切れると,,
phrase235,少しだけ沈黙が流れる。,,
phrase236,優しい風がそよそよと吹いて,,
phrase237,木漏れ日が柔らかく瞬いた。,,
phrase238,お前のおかげなんだ。,,
phrase239,唐突に、アランが口を開く。,,
phrase240,お前と出会ったことで……,,
phrase241,俺は、背負ってた重いものを,,
phrase242,下ろすことができた。,,
phrase243,前しか向いちゃダメなんだと,,
phrase244,ずっと思ってた俺に……,,
phrase245,力を抜いていいことを教えてくれた。,,
phrase246,努力すること、真面目に取り組むこと。,,
phrase247,勉強もバイオリンも――,,
phrase248,どうせダメなんだって諦めてたそれらに,,
phrase249,正面から向き合えるようになったのは,,
phrase250,全部……お前のおかげだ。,,
phrase251,アラン様……。,,
phrase252,マリアと会ってから,,
phrase253,俺の日々が変わったんだ。,,
phrase254,明るくて、眩しくて、大切で……。,,
phrase255,誰かとの優劣にすがるんじゃなくて,,
phrase256,自分のままでいていいんだ、って。,,
phrase257,そうお前に教えてもらって、,,
phrase258,……嬉しかったんだ、すごく。,,
phrase259,マリア。,,
phrase260,……ありがとな。,,
phrase261,どういたしまして、アラン様。,,
phrase262,マリアはアランの額を優しく撫でた。,,
phrase263,――きっと、これまでアランは,,
phrase264,頭を撫でて褒めてくれる手を,,
phrase265,求めても得られなかったのだろうと思いながら。,,
phrase266,（ひょっとして、アラン様は……,,
phrase267,私と話をするために、ここにいたのかな）,,
phrase268,（……なんて）,,
phrase269,穏やかで静かなひとときが過ぎる。,,
phrase270,しかし、静寂を破ったのは,,
phrase271,やはりアランからだった。,,
phrase272,彼はパッと跳ね起きると,,
phrase273,意を決したかのようにこう言った。,,
phrase274,伝えたいことがある。,,
phrase275,だが、その前に俺は,,
phrase276,やらなきゃいけないことがある。,,
phrase277,……だからまた明日,,
phrase278,今日と同じ時間に、ここに来い。,,
phrase279,そう言って,,
phrase280,アランは「絶対だぞ」と念押しをして,,
phrase281,どこかへと駆けて行った。,,
phrase282,マリアはアランとの約束を思い出しながら,,
phrase283,中庭への道を歩いていた。,,
phrase284,しかし、その道を塞ぐように立つ人影がある。,,
phrase285,その正体は――,,
phrase286,こんにちは、マリアさん。,,
phrase287,アランの婚約者であるメアリだった。,,
phrase288,マリアさん。,,
phrase289,あなたにひとつだけ,,
phrase290,たずねたいことがございます。,,
phrase291,メアリの眼差しは真っ直ぐで,,
phrase292,凛として真剣だった。,,
phrase293,マリアは表情を引き締めて,,
phrase294,彼女の言葉を促した。,,
phrase295,――あなたにとって,,
phrase296,アラン様とはどういう存在ですか？,,
phrase297,私にとって、ですか？,,
phrase298,マリアは少しだけ考えると,,
phrase299,メアリの目を見すえ、しっかりと語り始めた。,,
phrase300,強がりで、意地っ張りで,,
phrase301,でも素直で頑張り屋で優しくて,,
phrase302,……本当は誰よりも等身大な人。,,
phrase303,そんな彼を、愛しいと……,,
phrase304,支えたいと、思います。,,
phrase305,そんな彼の近くに……。,,
phrase306,ずっと、お傍にいたいです。,,
phrase307,第四王子だから,,
phrase308,スティアート家だから、じゃない――,,
phrase309,アラン様、だからです。,,
phrase310,私はずっと、彼と一緒にいたい。,,
phrase311,傍にいて、彼の笑顔を見ていたい。,,
phrase312,彼を支えて、彼と共に歩いていきたい。,,
phrase313,……心から、そう思っています。,,
phrase314,罪悪感がない、と言えば嘘になる。,,
phrase315,メアリはアランの婚約者。,,
phrase316,今の言葉は、婚約者に対し,,
phrase317,真っ向から相手を奪うと,,
phrase318,宣言しているようなものだった。,,
phrase319,だけど、今この時は,,
phrase320,本当の気持ちを伝えねば,,
phrase321,メアリに不敬だと、マリアは感じた。,,
phrase322,……。,,
phrase323,メアリはじっと,,
phrase324,マリアの言葉を聴いていた。,,
phrase325,だが、その表情が,,
phrase326,ふっとほころぶ。,,
phrase327,……敵いませんね、あなたには。,,
phrase328,メアリ様……。,,
phrase329,私には、あの方にあんな笑顔を,,
phrase330,浮かべさせることはできなかった。,,
phrase331,あの方の人生を本当に照らせるのは――,,
phrase332,マリアさん、あなただけなんですね。,,
phrase333,あなたの、アラン様へのその気持ち……,,
phrase334,どうか大切になさってください。,,
phrase335,では、ごきげんよう。,,
phrase336,浮かべたメアリの笑みは柔らかくて。,,
phrase337,だけど――きびすを返すその瞬間。,,
phrase338,あっ……。,,
phrase339,マリアは、彼女の目に,,
phrase340,涙が煌いているのを、確かに見た。,,
phrase341,メアリ様……ありがとうございます。,,
phrase342,マリアは彼女の背が見えなくなるまで,,
phrase343,深々とお辞儀をしていた。,,
phrase344,約束の場所。,,
phrase345,木漏れ日の下。,,
phrase346,マリアが空を見上げていると,,
phrase347,一つの足音がやってくる。,,
phrase348,アラン様！,,
phrase349,ずっと走ってきたのだろう。,,
phrase350,アランは息を弾ませてマリアの傍で立ち止まる。,,
phrase351,そのまま息を整えて……,,
phrase352,深呼吸の後、アランは背筋を伸ばして,,
phrase353,マリアの手を取った。,,
phrase354,そして、マリアに伝えたいことを,,
phrase355,遂に言葉にする。,,
phrase356,マリア。,,
phrase357,俺の傍にいてほしい。,,
phrase358,これからも、ずっと。,,
phrase359,飾らない言葉。,,
phrase360,どこまでもシンプルで,,
phrase361,真っ直ぐな想い。,,
phrase362,マリアはアランを見つめた。,,
phrase363,それがどういうことか,,
phrase364,アラン様は、ご理解の上ですか？,,
phrase365,わかってる。,,
phrase366,……俺のものになってくれ。,,
phrase367,俺と――結婚してくれ。,,
phrase368,かつてない、アランの真面目な眼差し。,,
phrase369,彼は言葉を続けた。,,
phrase370,昨日、メアリとジオルドに,,
phrase371,話をつけてきた。両方の親ともだ。,,
phrase372,しっかりと話し合った。,,
phrase373,……二人共,,
phrase374,俺の背中を押してくれた。,,
phrase375,（だから、メアリ様は――）,,
phrase376,マリアは先ほどの邂逅を思い出す。,,
phrase377,同時に、託された想いを噛み締める。,,
phrase378,アランも、メアリも,,
phrase379,覚悟を決めたのだ。,,
phrase380,アランはかしずき、マリアを見上げる。,,
phrase381,大きな声。,,
phrase382,大きな想い。,,
phrase383,マリアは受け止める覚悟を決める。,,
phrase384,それが自分を応援してくれている人たち。,,
phrase385,そして自分の恋心への,,
phrase386,最大の敬意と誠意なのだから。,,
phrase387,――喜んで。,,
phrase388,私の全てを、あなたにさしあげます。,,
phrase389,どうか……私をもらってください。,,
phrase390,……！,,
phrase391,ああ！　もちろんだ！,,
phrase392,ぱぁっと少年のように笑うアランは,,
phrase393,マリアを両腕で力いっぱい抱きしめた。,,
phrase394,マリアもまた、アランの大きな体を,,
phrase395,抱きしめ返す。,,
phrase396,優しい木漏れ日の中,,
phrase397,二人はずっとずっと抱き合っていた。,,
phrase398,大きな声。,,
phrase399,大きな想い。,,
phrase400,でも、本当に,,
phrase401,自分が受け止めてもいいのだろうか。,,
phrase402,これは複数の貴族の家を巻き込む、,,
phrase403,ただの『男女の恋』では済まされない代物なのだ。,,
phrase404,この恋の先には、まだ子どもの二人には,,
phrase405,想像もつかないような苦難が,,
phrase406,待ち受けているのだろう。,,
phrase407,（本当に、いいんですか？）,,
phrase408,けれど――,,
phrase409,マリアは、メアリとのやりとりを,,
phrase410,思い出す。,,
phrase411,アランが愛しい。,,
phrase412,彼を支えたい。,,
phrase413,――彼の傍にいたい。,,
phrase414,（ここで私が迷うのは……,,
phrase415,メアリ様への、アラン様への裏切りだ）,,
phrase416,だからマリアは,,
phrase417,真っ直ぐにアランを見つめ――,,
phrase418,心からの気持ちを込めて、頷いた。,,
phrase419,きっと、この恋は,,
phrase420,幸せなことばかりじゃないだろう。,,
phrase421,もしかしたら苦難の方が,,
phrase422,多いかもしれない。,,
phrase423,（それでも、私たちは……）,,
phrase424,微笑むアランに抱きしめられ、,,
phrase425,マリアは力いっぱい,,
phrase426,彼を抱きしめ返した。,,
phrase427,優しい木漏れ日の中,,
phrase428,二人は共に歩む未来を誓い合う――。,,
